uc009auw.1	chr6	+	3238518	3267019	3238518	3238518	3	3238518,3264405,3266613,	3238700,3264550,3267019,		uc009auw.1
uc009aux.1	chr6	-	3283193	3296069	3283193	3283193	3	3283193,3292595,3295852,	3285888,3292674,3296069,		uc009aux.1
uc009auy.2	chr6	-	3322256	3349571	3322519	3327259	2	3322256,3349267,	3327281,3349571,	NP_034286	uc009auy.2
uc009auz.1	chr6	-	3407088	3444498	3407912	3444478	10	3407088,3413260,3416123,3417388,3417513,3417623,3425908,3433289,3436922,3444399,	3407916,3413370,3416197,3417426,3417538,3417749,3426205,3433574,3437276,3444498,	Q4VAH7	uc009auz.1
uc009ava.2	chr6	+	3448392	3470624	3448522	3470347	6	3448392,3454868,3466621,3467788,3469216,3470206,	3448555,3454937,3466744,3467860,3469270,3470624,	Q9CXB4	uc009ava.2
uc009avb.2	chr6	+	3448392	3551110	3448522	3550359	27	3448392,3454868,3466621,3467788,3469216,3470206,3472255,3472682,3474092,3482157,3483471,3486831,3495509,3501012,3504995,3505367,3512267,3515515,3517734,3521001,3528793,3538005,3542426,3544017,3544742,3548471,3550127,	3448555,3454937,3466744,3467860,3469270,3470277,3472373,3472718,3474175,3482200,3483570,3486972,3495642,3501104,3505090,3505466,3512358,3515692,3517853,3521108,3528915,3538086,3542575,3544114,3544901,3548593,3551110,	Q8CI71-3	uc009avb.2
uc012ehr.1	chr6	+	3448392	3553531	3448522	3551382	28	3448392,3454868,3466621,3467788,3469216,3470206,3472255,3472682,3474092,3482157,3483471,3486831,3495509,3501012,3504995,3505367,3512267,3515515,3517734,3521001,3528793,3538005,3542426,3544017,3544742,3548471,3550127,3551367,	3448555,3454937,3466744,3467860,3469270,3470277,3472373,3472718,3474175,3482200,3483570,3486972,3495642,3501104,3505090,3505466,3512358,3515692,3517853,3521108,3528915,3538086,3542575,3544114,3544901,3548593,3550317,3553531,	Q8CI71-2	uc012ehr.1
uc009avc.2	chr6	+	3448392	3553531	3448522	3552779	28	3448392,3454868,3466621,3467788,3469216,3470206,3472255,3472682,3474092,3482157,3483471,3486831,3495509,3501012,3504995,3505367,3512267,3515515,3517734,3521001,3528793,3538005,3542426,3544017,3544742,3548471,3550127,3552659,	3448555,3454937,3466744,3467860,3469270,3470277,3472373,3472718,3474175,3482200,3483570,3486972,3495642,3501104,3505090,3505466,3512358,3515692,3517853,3521108,3528915,3538086,3542575,3544114,3544901,3548593,3550317,3553531,	Q8CI71	uc009avc.2
uc009avd.2	chr6	+	3508976	3553531	3512289	3552779	12	3508976,3515515,3517734,3521001,3528793,3538005,3542426,3544017,3544742,3548471,3550127,3552659,	3512358,3515692,3517853,3521108,3528915,3538086,3542575,3544114,3544901,3548593,3550317,3553531,	Q8CI71	uc009avd.2
uc009ave.1	chr6	-	3635719	3713623	3637394	3702974	15	3635719,3641531,3642541,3643700,3643848,3650126,3658485,3661447,3664648,3667091,3668564,3672922,3702951,3713221,3713590,	3637643,3641573,3642760,3643767,3643909,3650280,3658612,3661539,3664761,3667202,3668718,3673001,3703059,3713408,3713623,	Q3UUL9	uc009ave.1
